Documents,Metric,Doc_Partition,IncDSI,BERT_SCRATCH_1,BERT_SCRATCH_5,BERT_SCRATCH_10,BERT_DPR_1,BERT_DPR_5,BERT_DPR_10,DPR
10,H@10 ,New,0.8000000119,0.4,0.8,0.8,0.8,0.8,0.8,0.9
100,H@10 ,New,0.7857143283,0.1905,0.7619,0.8333,0.6905,0.8095,0.8571,0.71428571
1000,H@10 ,New,0.7464788556,0.3521126806,0.816901,0.84507042,0.80281686,0.816901385,0.859154939,0.746478873
10000,H@10 ,New,0.7940,0.349593,0.85230356,0.87398374,0.844173431,0.87398374,0.8631436229,0.735772
10,H@10 ,Old,0.8735,0.8849,0.8831,0.8806,0.8749,0.8735,0.8725,0.75092883
100,H@10 ,Old,0.8734,0.8841,0.8827,0.8809,0.8735,0.8743,0.8731,0.743557749
1000,H@10 ,Old,0.8734,0.88225,0.88053,0.880394,0.8745356,0.87182056,0.8706773519,0.75035
10000,H@10 ,Old,0.8690,0.87939411,0.876393258,0.8729637265,0.8672478,0.86338955,0.865104317,0.74406973
10,H@1,New,0.8000,0,0.8,0.8,0.4,0.8,0.7,0.6
100,H@1,New,0.6667,0,0.5476,0.619,0.381,0.5952,0.5714,0.47619047
1000,H@1,New,0.6338,0.12676,0.6338,0.67605632,0.59154,0.6478872,0.605633795,0.450704
10000,H@1,New,0.6165,0.1382113,0.596205949,0.63550138,0.5203251,0.601626038,0.60704606,0.456639
10,H@1,Old,0.6398,0.6817,0.6807,0.6793,0.638,0.6313,0.6341,0.4674192626
100,H@1,Old,0.6050,0.6815,0.6817,0.6804,0.6376,0.6342,0.6335,0.457331959
1000,H@1,Old,0.6342,0.6819091,0.67705,0.677908,0.642612218,0.63389,0.63218063,0.46641
10000,H@1,Old,0.5953,0.6797656,0.6739068,0.6734781265,0.636610448,0.63103747,0.6311803,0.45727